カテゴリ,品名,単位,1単位の目安g,数え方,別名(検索用),数値の作り方,優先,kcal,P,F,C,数値ソース,備考
肉料理,焼き鳥(ささみ) 1本,本,40,本,ささみぐし,積算,✓,39,9.6,0.3,0.0,積算(内訳台帳),
肉料理,チキンステーキ 1枚,枚,200,枚(0.5刻み),ちきんすてーき,積算,,393,30.4,30.6,0.9,積算(内訳台帳),もも1枚
肉料理,グリルチキン(むね) 1枚,枚,150,枚(0.5刻み),ぐりるちきん,積算,✓,233,30.1,13.3,0.4,積算(内訳台帳),
肉料理,チキン南蛮 1人前,人前,180,人前(0.5刻み),ちきんなんばん,積算,,521,21.1,44.1,13.4,積算(内訳台帳),タルタル込み
肉料理,鶏むねの塩麹焼き 1人前,人前,150,人前(0.5刻み),しおこうじ,積算,✓,193,30.8,6.6,4.9,積算(内訳台帳),
肉料理,蒸し鶏(よだれ鶏) 1人前,人前,150,人前(0.5刻み),むしどり/よだれどり,積算,,194,28.9,7.8,3.7,積算(内訳台帳),
肉料理,棒々鶏 1人前,人前,150,人前(0.5刻み),ばんばんじー,積算,,161,27.0,4.4,5.2,積算(内訳台帳),
肉料理,豚の生姜焼き 1人前,人前,150,人前(0.5刻み),しょうがやき,積算,,345,22.1,25.2,7.4,積算(内訳台帳),成分表にあり(ぶた生姜焼き) / 成分表に実在せず→積算へ(段階2)
肉料理,豚しゃぶ(冷しゃぶ) 1人前,人前,150,人前(0.5刻み),ひやしゃぶ/れいしゃぶ,積算,,296,20.7,21.5,5.9,積算(内訳台帳),タレ別
肉料理,とんかつ(ロース) 1枚,枚,150,枚(0.5刻み),とんかつ,転記,,644,33.0,53.9,14.7,転記(成分表11276),成分表にあり
肉料理,とんかつ(ヒレ) 1人前,人前,120,人前(0.5刻み),ひれかつ,転記,✓,455,30.1,30.4,17.9,転記(成分表11279),成分表にあり
肉料理,豚の角煮 1人前,人前,150,人前(0.5刻み),かくに,積算,,462,16.7,38.9,11.8,積算(内訳台帳),
肉料理,豚キムチ炒め 1人前,人前,180,人前(0.5刻み),ぶたきむち,積算,✓,398,15.1,37.0,4.7,積算(内訳台帳),
肉料理,回鍋肉 1人前,人前,200,人前(0.5刻み),ほいこーろー,積算,,401,13.9,35.4,10.1,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
肉料理,豚バラ焼き(サムギョプサル) 1人前,人前,150,人前(0.5刻み),さむぎょぷさる,積算,,485,18.1,45.8,3.7,積算(内訳台帳),
肉料理,ハンバーグ 1個,個,150,個(0.5刻み),はんばーぐ,転記,,296,20.1,18.3,15.0,転記(成分表18050),成分表にあり(合いびき)
肉料理,チーズハンバーグ 1個,個,170,個(0.5刻み),ちーずはんばーぐ,積算,,338,22.7,21.4,15.9,積算(内訳台帳),
肉料理,豆腐ハンバーグ 1個,個,150,個(0.5刻み),とうふはんばーぐ,転記,✓,213,14.8,13.8,12.6,転記(成分表18052),成分表にあり
肉料理,ビーフステーキ(サーロイン) 1枚,枚,200,枚(0.5刻み),すてーき/ステーキ,積算,,634,31.7,57.0,1.2,積算(内訳台帳),
肉料理,ビーフステーキ(赤身・ヒレ) 1枚,枚,150,枚(0.5刻み),あかみすてーき,積算,✓,294,30.4,20.2,1.0,積算(内訳台帳),
肉料理,焼肉(カルビ) 1人前,人前,100,人前(0.5刻み),かるび,積算,,348,11.5,33.8,5.1,積算(内訳台帳),タレ込み
肉料理,焼肉(ロース) 1人前,人前,100,人前(0.5刻み),やきにく,積算,,275,14.4,22.8,5.0,積算(内訳台帳),タレ込み
肉料理,焼肉(ハラミ) 1人前,人前,100,人前(0.5刻み),はらみ,積算,,269,13.2,23.5,5.1,積算(内訳台帳),
肉料理,焼肉(タン) 1人前,人前,80,人前(0.5刻み),たん/牛タン,積算,,250,9.3,25.3,0.6,積算(内訳台帳),
肉料理,ローストビーフ 1人前,人前,80,人前(0.5刻み),ろーすとびーふ,転記,,152,17.4,9.4,0.7,転記(成分表11104),
肉料理,牛すじ煮込み 1人前,人前,150,人前(0.5刻み),ぎゅうすじ,積算,,174,26.6,4.8,9.3,積算(内訳台帳),
肉料理,肉じゃが 1人前,人前,200,人前(0.5刻み),にくじゃが,転記,✓,156,8.6,2.6,26.0,転記(成分表18036),成分表にあり
肉料理,青椒肉絲 1人前,人前,180,人前(0.5刻み),ちんじゃおろーす,積算,,235,16.8,15.3,9.4,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
肉料理,ミートボール 3個,人前,90,人前(0.5刻み),みーとぼーる/肉団子,転記,,179,9.2,11.2,12.1,転記(成分表18015),成分表にあり
肉料理,メンチカツ 1個,個,90,個,めんちかつ,転記,,246,9.6,16.8,16.8,転記(成分表18022),成分表にあり
肉料理,コロッケ(ポテト) 1個,個,80,個,ころっけ,転記,,181,4.2,10.1,20.2,転記(成分表18018),成分表にあり
肉料理,ロールキャベツ 1個,個,120,個,ろーるきゃべつ,積算,,127,9.0,7.6,8.2,積算(内訳台帳),
肉料理,餃子 1個,個,25,個,ぎょうざ,転記,,52,1.7,2.8,5.6,転記(成分表18002),成分表にあり
肉料理,シュウマイ 1個,個,25,個,しゅうまい/焼売,転記,,48,2.3,2.3,4.9,転記(成分表18012),成分表にあり
肉料理,春巻き 1本,本,60,本,はるまき,転記,,133,3.6,5.1,18.1,転記(成分表18056),成分表にあり / 脂質は原表不整合のためエネルギー整合値に補正(8.5/100g)
肉料理,酢豚 1人前,人前,200,人前(0.5刻み),すぶた,転記,,154,9.2,6.6,15.2,転記(成分表18047),成分表にあり
肉料理,麻婆豆腐 1人前,人前,220,人前(0.5刻み),まーぼーどうふ,転記,✓,229,17.2,15.0,8.4,転記(成分表18049),成分表にあり
肉料理,麻婆茄子 1人前,人前,200,人前(0.5刻み),まーぼーなす,積算,,240,9.6,18.8,12.2,積算(内訳台帳),
肉料理,ジンギスカン 1人前,人前,150,人前(0.5刻み),じんぎすかん/ラム,積算,✓,200,21.3,12.4,7.7,積算(内訳台帳),
肉料理,ソーセージ 1本,本,20,本,そーせーじ/ウインナー,転記,,64,2.3,6.1,0.7,転記(成分表11186),
肉料理,ベーコン 1枚,枚,17,枚,べーこん,転記,,34,2.9,2.5,0.5,転記(成分表11184),
肉料理,ハム(ロース) 1枚,枚,15,枚,はむ,転記,,32,2.8,2.2,0.3,転記(成分表11176),
肉料理,生ハム 3枚,人前,30,人前(0.5刻み),なまはむ,転記,,73,7.2,5.0,0.1,転記(成分表11181),
肉料理,鶏レバー煮 1人前,人前,80,人前(0.5刻み),ればー/レバニラ用,積算,,97,13.6,2.2,6.2,積算(内訳台帳),
肉料理,レバニラ炒め 1人前,人前,180,人前(0.5刻み),ればにら,積算,,163,17.0,8.6,6.2,積算(内訳台帳),
肉料理,もつ煮込み 1人前,人前,180,人前(0.5刻み),もつに,積算,,244,13.4,19.3,6.9,積算(内訳台帳),
魚料理,鮭の塩焼き 1切れ,個,80,個,しゃけ/やきざかな,積算,✓,99,17.8,3.3,0.1,積算(内訳台帳),
魚料理,銀鮭の塩焼き 1切れ,個,80,個,ぎんじゃけ,積算,✓,150,15.7,10.2,0.2,積算(内訳台帳),
魚料理,サバの塩焼き 1切れ,個,90,個,さば/鯖,積算,✓,190,18.5,15.1,0.3,積算(内訳台帳),
魚料理,サバの味噌煮 1切れ,個,120,個,さばみそ,転記,✓,252,19.6,16.7,7.9,転記(成分表10165),成分表にあり
魚料理,アジの開き 1枚,枚,90,枚,あじ/干物,積算,✓,135,18.2,7.9,0.1,積算(内訳台帳),
魚料理,ホッケの開き 半身,人前,150,人前(0.5刻み),ほっけ,積算,,242,30.9,14.1,0.2,積算(内訳台帳),
魚料理,サンマの塩焼き 1尾,本,100,本,さんま/秋刀魚,積算,,287,18.1,25.6,0.1,積算(内訳台帳),
魚料理,イワシの塩焼き 1尾,本,60,本,いわし,積算,✓,94,11.5,5.5,0.1,積算(内訳台帳),
魚料理,ブリの照り焼き 1切れ,個,90,個,ぶりてり,転記,,234,23.6,18.4,0.3,転記(成分表10242),成分表にあり
魚料理,ぶり大根 1人前,人前,250,人前(0.5刻み),ぶりだいこん,積算,,234,16.4,12.4,17.1,積算(内訳台帳),
魚料理,カレイの煮付け 1切れ,個,120,個,かれい/煮魚,積算,,132,20.3,1.3,8.2,積算(内訳台帳),
魚料理,金目鯛の煮付け 1切れ,個,120,個,きんめだい,積算,,195,18.4,9.0,9.5,積算(内訳台帳),
魚料理,タラの塩焼き 1切れ,個,80,個,たら/鱈,積算,,58,14.1,0.2,0.1,積算(内訳台帳),
魚料理,ムニエル(タラ・鮭) 1切れ,個,100,個,むにえる,積算,✓,186,20.5,10.3,4.2,積算(内訳台帳),
魚料理,アクアパッツァ 1人前,人前,250,人前(0.5刻み),あくあぱっつぁ,積算,,186,16.9,10.5,3.6,積算(内訳台帳),
魚料理,アジフライ 1枚,枚,80,枚,あじふらい,転記,✓,216,16.1,14.6,6.3,転記(成分表10390),成分表にあり
魚料理,白身魚フライ 1枚,枚,80,枚,しろみふらい,転記,,239,7.8,17.4,13.0,転記(成分表18021),成分表にあり
魚料理,エビフライ 1本,本,40,本,えびふらい,転記,✓,94,6.4,4.6,8.2,転記(成分表18020),成分表にあり
魚料理,カキフライ 1個,個,40,個,かきふらい,転記,,102,3.0,4.4,13.2,転記(成分表10430),成分表にあり
魚料理,天ぷら盛り合わせ 1人前,人前,150,人前(0.5刻み),てんぷら,積算,,350,14.0,24.5,21.5,積算(内訳台帳),エビ2・野菜3想定
魚料理,エビの天ぷら 1本,本,35,本,えびてん,転記,✓,68,7.0,3.6,2.3,転記(成分表10416),成分表にあり
魚料理,エビチリ 1人前,人前,180,人前(0.5刻み),えびちり,積算,✓,183,20.4,7.4,10.1,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
魚料理,エビマヨ 1人前,人前,150,人前(0.5刻み),えびまよ,積算,✓,334,20.1,26.1,8.0,積算(内訳台帳),
魚料理,刺身盛り合わせ 1人前,人前,120,人前(0.5刻み),さしみ/お造り,積算,,195,25.8,11.0,0.6,積算(内訳台帳),7切れ想定
魚料理,マグロ刺身(赤身) 5切れ,人前,60,人前(0.5刻み),まぐろ,転記,✓,69,15.8,0.8,0.1,転記(成分表10253),
魚料理,サーモン刺身 5切れ,人前,60,人前(0.5刻み),さーもんさしみ,転記,,134,11.8,10.2,0.1,転記(成分表10438),
魚料理,カツオのたたき 1人前,人前,100,人前(0.5刻み),かつお,転記,✓,108,25.8,0.5,0.1,転記(成分表10086),
魚料理,しらす(釜揚げ) 大さじ2,人前,20,人前(0.5刻み),しらす,転記,✓,17,3.5,0.3,0.0,転記(成分表10445),
魚料理,ちくわ 1本,本,30,本,竹輪,転記,✓,32,4.0,0.1,4.0,転記(成分表10381),
魚料理,かまぼこ 2切れ,人前,30,人前(0.5刻み),蒲鉾,転記,,28,3.6,0.3,2.9,転記(成分表10379),
魚料理,カニカマ 1本,本,15,本,かにかま,転記,,13,1.8,0.1,1.4,転記(成分表10376),
魚料理,さつま揚げ 1枚,枚,60,枚,さつまあげ,転記,,70,6.8,1.4,7.6,転記(成分表10386),
魚料理,はんぺん 1枚,枚,100,枚,はんぺん,転記,,93,9.9,1.0,11.4,転記(成分表10385),
魚料理,ツナ缶(水煮) 1缶,個,70,個,つな/シーチキン,転記,✓,49,11.2,0.5,0.1,転記(成分表10260),
魚料理,ツナ缶(油漬) 1缶,個,70,個,つなあぶら,転記,✓,186,12.4,15.2,0.1,転記(成分表10263),
魚料理,イワシ缶(味付) 1缶,個,100,個,いわしかん,転記,✓,203,20.4,11.9,5.7,転記(成分表10061),
魚料理,エビ(ボイル) 5尾,人前,60,人前(0.5刻み),えび/海老,転記,✓,49,11.8,0.4,0.4,転記(成分表10415),
魚料理,イカ(刺身・焼き) 1人前,人前,80,人前(0.5刻み),いか,転記,,61,14.3,0.6,0.1,転記(成分表10345),
魚料理,タコ(ゆで) 1人前,人前,80,人前(0.5刻み),たこ,転記,✓,73,17.4,0.6,0.1,転記(成分表10362),
魚料理,ホタテ(刺身・焼き) 3個,人前,60,人前(0.5刻み),ほたて,転記,,49,10.1,0.2,2.1,転記(成分表10313),
魚料理,あさりの酒蒸し 1人前,人前,120,人前(0.5刻み),あさり,積算,,67,5.8,3.1,1.4,積算(内訳台帳),殻付き換算は備考
魚料理,牡蠣(生・蒸し) 3個,人前,60,人前(0.5刻み),かき,転記,,35,4.1,1.3,2.9,転記(成分表10292),
魚料理,うなぎの蒲焼 1串,人前,100,人前(0.5刻み),うなぎかばやき,転記,,285,23.0,21.0,3.1,転記(成分表10070),
卵・大豆・乳,ゆで卵 1個,個,50,個,ゆでたまご,転記,✓,67,6.2,5.2,0.1,転記(成分表12005),
卵・大豆・乳,目玉焼き 1個,個,55,個,めだまやき,転記,,113,8.1,9.7,0.2,転記(成分表12021),油込み / 成分表に実在発見→転記へ(段階2-2)
卵・大豆・乳,スクランブルエッグ 卵2個分,人前,120,人前(0.5刻み),すくらんぶる/炒り卵,積算,✓,204,13.8,16.5,0.9,積算(内訳台帳),
卵・大豆・乳,だし巻き卵 2切れ,人前,80,人前(0.5刻み),だしまき/卵焼き,転記,✓,98,8.8,7.4,0.4,転記(成分表12019),成分表にあり
卵・大豆・乳,オムレツ(プレーン) 1個,人前,120,人前(0.5刻み),おむれつ,積算,,203,13.7,16.4,0.8,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
卵・大豆・乳,温泉卵 1個,個,50,個,おんせんたまご/おんたま,転記,✓,71,6.1,5.1,0.2,転記(成分表12004),
卵・大豆・乳,茶碗蒸し 1個,個,150,個,ちゃわんむし,積算,,78,7.2,4.6,2.7,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
卵・大豆・乳,ニラ玉 1人前,人前,150,人前(0.5刻み),にらたま,積算,,222,14.2,17.3,2.9,積算(内訳台帳),
卵・大豆・乳,かに玉 1人前,人前,200,人前(0.5刻み),かにたま/天津飯の具,積算,,288,17.2,19.5,11.1,積算(内訳台帳),
卵・大豆・乳,冷奴 1人前,人前,150,人前(0.5刻み),ひややっこ,積算,,82,8.1,4.6,3.4,積算(内訳台帳),豆腐半丁+薬味
卵・大豆・乳,湯豆腐 1人前,人前,200,人前(0.5刻み),ゆどうふ,積算,✓,119,11.4,7.4,3.7,積算(内訳台帳),
卵・大豆・乳,揚げ出し豆腐 1人前,人前,150,人前(0.5刻み),あげだしどうふ,積算,✓,209,8.3,15.4,10.9,積算(内訳台帳),
卵・大豆・乳,絹ごし豆腐 100g,g,100,g(10刻み),きぬごし,転記,✓,56,5.3,3.5,2.0,転記(成分表04033),既存木綿と対
卵・大豆・乳,厚揚げ(焼き) 1/2枚,人前,100,人前(0.5刻み),あつあげ,転記,,143,10.7,11.3,0.9,転記(成分表04039),
卵・大豆・乳,油揚げ 1枚,枚,30,枚,あぶらあげ,転記,,113,7.0,10.3,0.1,転記(成分表04040),
卵・大豆・乳,高野豆腐の煮物 1人前,人前,100,人前(0.5刻み),こうやどうふ,積算,✓,112,9.2,5.8,6.6,積算(内訳台帳),
卵・大豆・乳,おから(卯の花) 小鉢1,人前,80,人前(0.5刻み),うのはな/おから,転記,,67,3.5,3.3,8.6,転記(成分表18029),成分表にあり
卵・大豆・乳,豆乳(調製) コップ1杯,杯,200,杯(0.5刻み),ちょうせいとうにゅう,転記,✓,122,6.4,7.2,9.6,転記(成分表04053),無調整は既存
卵・大豆・乳,牛乳 コップ1杯,杯,200,杯(0.5刻み),ぎゅうにゅう/ミルク,転記,,122,6.6,7.6,9.6,転記(成分表13003),
卵・大豆・乳,低脂肪乳 コップ1杯,杯,200,杯(0.5刻み),ていしぼうにゅう,転記,,84,7.6,2.0,11.0,転記(成分表13005),
卵・大豆・乳,飲むヨーグルト コップ1杯,杯,180,杯(0.5刻み),のむよーぐると,転記,✓,115,5.2,0.9,22.0,転記(成分表13027),
卵・大豆・乳,ヨーグルト(加糖) 1個,個,80,個,かとうよーぐると,転記,✓,52,3.4,0.2,9.5,転記(成分表13026),
卵・大豆・乳,カッテージチーズ 大さじ2,人前,30,人前(0.5刻み),かってーじ,転記,,30,4.0,1.4,0.6,転記(成分表13033),
卵・大豆・乳,モッツァレラチーズ 1/2個,人前,50,人前(0.5刻み),もっつぁれら,転記,,134,9.2,9.9,2.1,転記(成分表13056),
卵・大豆・乳,カマンベールチーズ 1/4個,人前,25,人前(0.5刻み),かまんべーる,転記,,73,4.8,6.2,0.2,転記(成分表13034),
鍋・汁物,味噌汁(豆腐・わかめ) 1杯,杯,180,杯(0.5刻み),みそしる/おみそしる,積算,✓,38,3.2,1.4,4.0,積算(内訳台帳),
鍋・汁物,味噌汁(なめこ) 1杯,杯,180,杯(0.5刻み),なめこじる,積算,✓,30,2.5,0.7,4.3,積算(内訳台帳),
鍋・汁物,豚汁 1杯,杯,250,杯(0.5刻み),とんじる/ぶたじる,転記,,65,3.8,3.8,5.0,転記(成分表18028),成分表にあり
鍋・汁物,けんちん汁 1杯,杯,250,杯(0.5刻み),けんちん,積算,,69,3.4,4.5,5.0,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
鍋・汁物,すまし汁 1杯,杯,180,杯(0.5刻み),おすまし/お吸い物,積算,,11,1.4,0.0,1.3,積算(内訳台帳),
鍋・汁物,あら汁 1杯,杯,250,杯(0.5刻み),あらじる,積算,,119,11.0,7.8,4.0,積算(内訳台帳),
鍋・汁物,コーンスープ 1杯,杯,180,杯(0.5刻み),こーんすーぷ/ポタージュ,転記,,765,14.6,24.7,121.3,転記(成分表18004),成分表にあり
鍋・汁物,ミネストローネ 1杯,杯,200,杯(0.5刻み),みねすとろーね,積算,,81,4.2,4.4,7.8,積算(内訳台帳),
鍋・汁物,クラムチャウダー 1杯,杯,200,杯(0.5刻み),くらむちゃうだー,積算,✓,169,7.6,10.2,15.2,積算(内訳台帳),
鍋・汁物,オニオンスープ 1杯,杯,180,杯(0.5刻み),おにおんすーぷ,積算,,64,2.6,4.2,5.3,積算(内訳台帳),
鍋・汁物,わかめスープ 1杯,杯,180,杯(0.5刻み),わかめすーぷ,積算,,39,2.0,3.3,0.9,積算(内訳台帳),
鍋・汁物,卵スープ 1杯,杯,180,杯(0.5刻み),たまごすーぷ,積算,✓,56,4.7,3.2,2.1,積算(内訳台帳),
鍋・汁物,参鶏湯風スープ 1人前,人前,350,人前(0.5刻み),さむげたん,積算,,195,17.6,11.3,8.9,積算(内訳台帳),
鍋・汁物,寄せ鍋 1人前,人前,400,人前(0.5刻み),よせなべ,積算,,198,19.1,9.3,10.9,積算(内訳台帳),〆別
鍋・汁物,水炊き 1人前,人前,400,人前(0.5刻み),みずたき/鶏鍋,積算,,197,16.1,12.0,7.9,積算(内訳台帳),ポン酢込み
鍋・汁物,しゃぶしゃぶ(豚) 1人前,人前,300,人前(0.5刻み),しゃぶしゃぶ,積算,,299,20.1,19.9,11.4,積算(内訳台帳),タレ込み
鍋・汁物,すき焼き 1人前,人前,350,人前(0.5刻み),すきやき,積算,,462,26.4,29.4,24.0,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
鍋・汁物,キムチ鍋 1人前,人前,400,人前(0.5刻み),きむちなべ/チゲ,積算,✓,285,15.9,21.7,10.2,積算(内訳台帳),
鍋・汁物,スンドゥブチゲ 1人前,人前,350,人前(0.5刻み),すんどぅぶ,積算,,240,15.6,17.8,6.9,積算(内訳台帳),
鍋・汁物,もつ鍋 1人前,人前,350,人前(0.5刻み),もつなべ,積算,✓,246,14.1,19.0,7.1,積算(内訳台帳),
鍋・汁物,おでん(定番5品) 1人前,人前,400,人前(0.5刻み),おでん,積算,,281,14.0,6.2,46.1,積算(内訳台帳),卵・大根・こんにゃく・ちくわ・厚揚げ
鍋・汁物,おでん(大根) 1個,個,80,個,おでんだいこん,転記,,12,0.4,0.1,3.2,転記(成分表06135),
鍋・汁物,おでん(卵) 1個,個,55,個,おでんたまご,転記,✓,74,6.9,5.7,0.2,転記(成分表12005),
鍋・汁物,おでん(しらたき) 1個,個,80,個,おでんしらたき,転記,,273,0.2,0.2,70.2,転記(成分表02036),
鍋・汁物,湯どうふ鍋(1人鍋) 1人前,人前,350,人前(0.5刻み),ひとりなべ,積算,,132,12.1,7.4,6.0,積算(内訳台帳),
副菜・野菜,野菜炒め 1人前,人前,180,人前(0.5刻み),やさいいため,積算,,196,5.8,17.0,7.0,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
副菜・野菜,もやし炒め 1人前,人前,150,人前(0.5刻み),もやしいため,積算,,96,2.8,8.1,3.8,積算(内訳台帳),
副菜・野菜,ほうれん草のおひたし 小鉢1,人前,60,人前(0.5刻み),おひたし,転記,,16,2.2,0.3,2.6,転記(成分表06372),成分表にあり
副菜・野菜,小松菜のおひたし 小鉢1,人前,60,人前(0.5刻み),こまつなおひたし,積算,✓,12,1.5,0.1,1.7,積算(内訳台帳),
副菜・野菜,ほうれん草の胡麻和え 小鉢1,人前,60,人前(0.5刻み),ごまあえ,積算,,44,2.3,2.4,4.7,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
副菜・野菜,いんげんの胡麻和え 小鉢1,人前,60,人前(0.5刻み),いんげん,転記,,46,2.2,2.0,5.5,転記(成分表18025),成分表にあり
副菜・野菜,きんぴらごぼう 小鉢1,人前,60,人前(0.5刻み),きんぴら,転記,,50,0.8,2.7,6.8,転記(成分表18033),成分表にあり
副菜・野菜,ひじきの煮物 小鉢1,人前,60,人前(0.5刻み),ひじき,転記,,45,1.9,2.4,5.9,転記(成分表18037),成分表にあり
副菜・野菜,切り干し大根の煮物 小鉢1,人前,60,人前(0.5刻み),きりぼし,転記,,29,1.4,1.5,3.4,転記(成分表18032),成分表にあり
副菜・野菜,かぼちゃの煮物 小鉢1,人前,100,人前(0.5刻み),かぼちゃ,積算,✓,97,2.0,0.3,24.2,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
副菜・野菜,里芋の煮物 小鉢1,人前,100,人前(0.5刻み),さといも,積算,,72,1.7,0.1,16.8,積算(内訳台帳),
副菜・野菜,筑前煮 1人前,人前,150,人前(0.5刻み),ちくぜんに/がめ煮,転記,,128,6.6,5.2,15.3,転記(成分表18035),成分表にあり
副菜・野菜,なすの煮浸し 小鉢1,人前,80,人前(0.5刻み),にびたし,積算,,65,1.1,5.1,5.2,積算(内訳台帳),
副菜・野菜,なすの味噌炒め 1人前,人前,120,人前(0.5刻み),なすみそ,積算,✓,170,4.1,13.8,9.8,積算(内訳台帳),
副菜・野菜,ゴーヤチャンプルー 1人前,人前,180,人前(0.5刻み),ごーやちゃんぷる,積算,,239,12.5,20.4,3.6,積算(内訳台帳),
副菜・野菜,ラタトゥイユ 1人前,人前,150,人前(0.5刻み),らたとぅいゆ,積算,,108,1.8,8.2,8.7,積算(内訳台帳),
副菜・野菜,アスパラベーコン 1人前,人前,80,人前(0.5刻み),あすぱら,積算,,77,4.7,6.0,2.6,積算(内訳台帳),
副菜・野菜,ブロッコリーの塩ゆで 小鉢1,人前,80,人前(0.5刻み),ぶろっこりーゆで,転記,,24,3.1,0.3,4.2,転記(成分表06264),既存g指定と二本立て
副菜・野菜,オクラのおかか和え 小鉢1,人前,50,人前(0.5刻み),おくら,積算,,17,1.9,0.1,3.2,積算(内訳台帳),
副菜・野菜,冷やしトマト 1人前,人前,100,人前(0.5刻み),ひやしとまと,転記,,20,0.7,0.1,4.7,転記(成分表06182),
副菜・野菜,枝豆 1人前,人前,60,人前(0.5刻み),えだまめさや,転記,✓,71,6.9,3.7,5.3,転記(成分表(のり監修57参照)),既存g指定と二本立て・可食部
副菜・野菜,もろきゅう 1人前,人前,80,人前(0.5刻み),きゅうり/もろきゅう,積算,,30,1.7,0.4,5.9,積算(内訳台帳),
副菜・野菜,たたききゅうり 小鉢1,人前,80,人前(0.5刻み),たたききゅうり,積算,,48,1.2,3.9,2.7,積算(内訳台帳),
副菜・野菜,キャベツの千切り 付け合わせ1,人前,50,人前(0.5刻み),せんぎり,転記,,26,2.9,0.1,5.0,転記(成分表06283),
副菜・野菜,コールスロー 小鉢1,人前,80,人前(0.5刻み),こーるすろー,積算,,96,1.1,7.7,7.1,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
副菜・野菜,ポテトサラダ 小鉢1,人前,100,人前(0.5刻み),ぽてさら,積算,,144,2.9,11.1,12.2,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
副菜・野菜,マカロニサラダ 小鉢1,人前,80,人前(0.5刻み),まかろにさらだ,積算,,173,4.1,12.2,14.3,積算(内訳台帳),
副菜・野菜,かぼちゃサラダ 小鉢1,人前,80,人前(0.5刻み),かぼちゃさらだ,積算,✓,140,1.4,9.3,16.0,積算(内訳台帳),
副菜・野菜,グリーンサラダ 1皿,人前,80,人前(0.5刻み),さらだ/サラダ,積算,,30,0.8,1.5,3.9,積算(内訳台帳),ドレッシング別
副菜・野菜,シーザーサラダ 1皿,人前,120,人前(0.5刻み),しーざー,積算,,151,8.1,10.7,7.7,積算(内訳台帳),ドレッシング込み
副菜・野菜,海藻サラダ 1皿,人前,80,人前(0.5刻み),かいそう,積算,,32,1.1,1.9,3.7,積算(内訳台帳),
副菜・野菜,大根サラダ 1皿,人前,80,人前(0.5刻み),だいこんさらだ,積算,,35,1.3,1.9,3.7,積算(内訳台帳),
副菜・野菜,トマトとモッツァレラのカプレーゼ 1人前,人前,120,人前(0.5刻み),かぷれーぜ,積算,,192,7.8,16.0,4.6,積算(内訳台帳),
副菜・野菜,ナムル盛り合わせ 小鉢1,人前,60,人前(0.5刻み),なむる,積算,,67,1.7,6.0,2.7,積算(内訳台帳),
副菜・野菜,チョレギサラダ 1皿,人前,90,人前(0.5刻み),ちょれぎ,積算,,74,1.2,6.6,3.0,積算(内訳台帳),
副菜・野菜,野菜スティック 1人前,人前,100,人前(0.5刻み),すてぃっく,積算,,71,1.7,4.2,8.5,積算(内訳台帳),味噌マヨ込み
副菜・野菜,浅漬け(きゅうり・白菜) 小鉢1,人前,50,人前(0.5刻み),あさづけ/つけもの,転記,,8,0.8,0.1,1.6,転記(成分表06235),
副菜・野菜,ぬか漬け 小鉢1,人前,40,人前(0.5刻み),ぬかづけ,転記,,11,0.6,0.0,2.5,転記(成分表06068),
副菜・野菜,たくあん 3切れ,人前,20,人前(0.5刻み),たくあん,転記,,9,0.1,0.1,2.2,転記(成分表06138),
副菜・野菜,梅きゅうり 小鉢1,人前,60,人前(0.5刻み),うめきゅう,積算,✓,17,0.6,0.1,4.1,積算(内訳台帳),
副菜・野菜,もずく酢 1パック,個,70,個,もずく,転記,✓,3,0.1,0.1,1.0,転記(成分表09038),
副菜・野菜,めかぶ 1パック,個,50,個,めかぶ,転記,✓,7,0.5,0.3,1.7,転記(成分表09047),
副菜・野菜,ところてん 1パック,個,150,個,ところてん,転記,,3,0.3,0.0,0.9,転記(成分表09026),
副菜・野菜,紅白なます 小鉢1,人前,50,人前(0.5刻み),なます,転記,,17,0.3,0.3,3.6,転記(成分表18027),成分表にあり
副菜・野菜,酢の物(わかめ・きゅうり) 小鉢1,人前,60,人前(0.5刻み),すのもの,積算,,22,0.7,0.1,4.9,積算(内訳台帳),成分表にあり / 成分表に実在せず→積算へ(段階2)
副菜・野菜,白和え 小鉢1,人前,70,人前(0.5刻み),しらあえ,転記,,57,2.9,2.4,7.3,転記(成分表18024),成分表にあり
副菜・野菜,青菜の白和え 小鉢1,人前,70,人前(0.5刻み),あおな,転記,,57,2.9,2.4,7.3,転記(成分表18024),成分表にあり
副菜・野菜,とろろ(長芋すりおろし) 小鉢1,人前,80,人前(0.5刻み),とろろ/ながいも,転記,✓,51,1.8,0.2,11.1,転記(成分表02023),
